"X","lineage","country","year_first","year_last","n_seqs","parent"
69,"Cosmopolitan_A1.2","c(""Central African Republic"", ""Madagascar"", ""Tanzania"", ""Zimbabwe"")",1986,2011,2,"Cosmopolitan_A1"
71,"Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018,12,"Cosmopolitan_A1.2"
84,"Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018,12,"Cosmopolitan AF1b_A1.1"
85,"Cosmopolitan AF1b_A1.1.2","Tanzania",2003,2011,3,"Cosmopolitan AF1b_A1.1"
89,"Cosmopolitan AF1b_B1.2","Tanzania",2011,2017,40,"Cosmopolitan AF1b_B1"
90,"Cosmopolitan AF1b_B1.3","Tanzania",2010,2013,5,"Cosmopolitan AF1b_B1"
292,"Cosmopolitan AF1b_B1","Tanzania",2004,2012,2,"Cosmopolitan AF1b_A1.1.1"
301,"Cosmopolitan AF1b_C1","Tanzania",2009,2017,10,"Cosmopolitan AF1b_A1.1.2"
881,"Cosmopolitan_K1","Tanzania",1997,1997,1,"Cosmopolitan_A1.2.2"
