"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"R2-081","Asian_A1.1.1","China",1994,2015
"barcode26","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode14","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-210","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-211","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode13","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-136","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-15","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-412","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-528","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-310","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-35","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2422","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-126","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-114","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-421","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-423","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21622","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2922HM","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-29","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode85","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-032","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode61","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-096","Asian SEA4_A1.1.2","Philippines",2013,2019
"COW","Asian SEA4_A1.1.2","Philippines",2013,2019
"GOAT","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-094","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-15-001","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-12-012","Asian SEA4_A1.1.2","Philippines",2013,2019
"H22-01","Asian SEA4_A1.1.1","Philippines",2012,2016
"Z-16-082","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-2922JG","Asian SEA4_A1.1.1","Philippines",2012,2016
"barcode01","Asian SEA4_A1.2","Philippines",2012,2019
"barcode73","Asian SEA4_A1.2","Philippines",2012,2019
"barcode49","Asian SEA4_A1.2","Philippines",2012,2019
"RADDL3-845","Asian SEA4_A1.2","Philippines",2012,2019
"Z-14-182","Asian SEA4_A1.2","Philippines",2012,2019
"R3-21-0467","Asian SEA4_A1.2","Philippines",2012,2019
"R3-731","Asian SEA4_A1.2","Philippines",2012,2019
"barcode37","Asian SEA4_A1.2","Philippines",2012,2019
"Z-14-033","Asian SEA4_A1.2","Philippines",2012,2019
"RADDL3-15-172","Asian SEA4_A1.2","Philippines",2012,2019
"Z-16-151","Asian SEA4_A1.2","Philippines",2012,2019
"4A-22-104","Asian SEA4_A1.2","Philippines",2012,2019
"4A-22-40","Asian SEA4_A1.2","Philippines",2012,2019
"4A-22-98","Asian SEA4_A1.2","Philippines",2012,2019
"R3-0483","Asian SEA4_A1.2","Philippines",2012,2019
"RADDL3-16-468","Asian SEA4_A1.2","Philippines",2012,2019
"R1-21-148","Asian SEA4_A1.2","Philippines",2012,2019
"R6-21-4511","Asian SEA4_A1.2","Philippines",2012,2019
"R5-21-119","Asian SEA4_A1.2","Philippines",2012,2019
"R5-09","Asian SEA4_A1.2","Philippines",2012,2019
"barcode02","Asian SEA4_A1.2","Philippines",2012,2019
"R5-21-132","Asian SEA4_A1.2","Philippines",2012,2019
"R5-21-115","Asian SEA4_A1.2","Philippines",2012,2019
"R5-21-128","Asian SEA4_A1.2","Philippines",2012,2019
"14","Asian SEA4_A1.2","Philippines",2012,2019
"153","Asian SEA4_A1.2","Philippines",2012,2019
"19-30","Asian SEA4_A1.2","Philippines",2012,2019
"19-40","Asian SEA4_A1.2","Philippines",2012,2019
"RADDL3-1045","Asian SEA4_A1.2","Philippines",2012,2019
"R10-920","Asian SEA4_A1.2","Philippines",2012,2019
"R10-907","Asian SEA4_A1.2","Philippines",2012,2019
"R10-714","Asian SEA4_A1.2","Philippines",2012,2019
"R11-21-63","Asian SEA4_A1.2","Philippines",2012,2019
"R9-010","Asian SEA4_A1.2","Philippines",2012,2019
"R9-074","Asian SEA4_A1.2","Philippines",2012,2019
"R9-089","Asian SEA4_A1.2","Philippines",2012,2019
"R9-105","Asian SEA4_A1.2","Philippines",2012,2019
"R11-21-61","Asian SEA4_A1.2","Philippines",2012,2019
"Z-16-209","Asian SEA4_A1.2","Philippines",2012,2019
"barcode25","Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020
"R6-21-4600","Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020
"R6-4342","Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020
"R6-4568","Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020
"R11-21-57",NA,NA,NA,NA
